INFO: utils: Log initialization
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:DisplayPosition
INFO: Runtime: Executing proc:GetPositionByMouse
INFO: Runtime: Executing proc:GetPositionByMouse
INFO: Runtime: Executing proc:GetPositionByMouse
INFO: Runtime: Executing proc:GetPositionByMouse
INFO: Runtime: Executing proc:GetPositionByMouse
INFO: Runtime: Executing proc:GetPositionByMouse
INFO: Runtime: Executing proc:DisplayPosition
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:DisplayPosition
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
INFO: Runtime: Executing proc:GenerPositions
